,535,,&*479210,,,,,
,3231,,,,,,,
,,,,,,,,
a,,,,,,,,
,,dwdqr,,,,,,
,,,,,ydhsr,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
39,MSD,Personalized Drug Design,IDK,2,2,,1,4
40,MXHL,Machine Learning Algorithms,IDK,0.6,0.6,,1,2
41,NUS,Pediatric Surgery Neural Network,IDK,2,2,,1,2
43,PA,POP-UPHood,IDK,2,2,,1,2
46,RollsRoyce,Energy Harvesting Wireless Sensor,IDK,2,1,,1, 2
47,RollsRoyce,Spare Parts Onboard Ships,IDK,3.5,3.5,,1, 2
49,Sembcorp,Small Weight Delivery,IDK,3,2,,1, 3
50,SIA,All-Weather Working Shelter,IDK,2.5,2,,1,2
51,SIA,Premium Passenger Experience,IDK,2.5,1,,1,2
53,S-Lineage,Breathing Tower,IDK,3,3,,1,2
54,Sree Narayana,Improving Living Environment,IDK,4,4,,1,2
55,Sree Narayana,Redesign Residential Facility,IDK,2,2,,1,2
61,Steelcase,Reduction of Logistics and Packaging Costs,IDK,3,2,,1,2
62,TataComm,App Performance Management,IDK,2,2,,1,2
63,TataComm,SmartChat,IDK,1,0.5,,1,3
65,TVConal,Cricket Broadcast,IDK,2,2,,1,2
68,Weijenberg,Smart Generative Furniture Design,IDK,5,6,,1,2
69,CGH,Drip Detection Device  May not showcase project,IDK,0.5,0.5,,1,2
70,CGH,Patient Transfer Device,IDK,4,4,,1, 2
71,ASTAR,Pediatric Robotic Pet,IDK,2,2,,1,2
72,ASTAR,Human Behaviour,IDK,2,1.5,,1,2
E01,NIL,BlackBox,IDK,3,3,,1,2
E02,NIL,Do-Do,IDK,2,2,,1,2
E03,NIL,FlexiHome,IDK,3.5,3.5,,1,2
F29,inlingua,Management System,IDK,0,0,,1,2
F37,MITRE,Air Traffic Control,IDK,370,260,,1,2
S01,2359 Media,Percy,IDK,2,2,,1,3
S02,DSO,Synthetic Aperture Radar,IDK,10,3,,1,2
S03,GIC,Skynet,IDK,0,0,,1,2
S04,NHB,Printing Light,IDK,11.5,7,,1,5
S05,Performance Rotors,AEOLUS,IDK,3,3,,1,2
S06,RGA,Mixed Reality Redefines Education,IDK,2,3,,1, 7
S07,Shado EV,BLDC Design,IDK,5,5,,1, 4
S08,SMRT,ABTUS,IDK,3,3,,1,2
S09,Weijenberg,Reinforced Wood Tower,IDK,2,2,,1,2
